id,name,country
850,UEFA U21 Championship - Qualification,World
36,Africa Cup of Nations - Qualification,World
886,UEFA U17 Championship - Qualification,World
565,Liga Primera U20,Nicaragua
720,Emir Cup,Kuwait
764,Premier League,Mongolia
544,FA Cup,Hong-Kong
893,UEFA U19 Championship - Qualification,World
38,UEFA U21 Championship,World
541,CONMEBOL Recopa,World
25,Gulf Cup of Nations,World
504,King's Cup,Saudi-Arabia
128,Liga Profesional Argentina,Argentina
16,CONCACAF Champions League,World
612,Copa do Nordeste,Brazil
477,Gaúcho - 1,Brazil
624,Carioca - 1,Brazil
77,Alagoano,Brazil
475,Paulista - A1,Brazil
609,Cearense - 1,Brazil
252,Division Profesional - Clausura,Paraguay
250,Division Profesional - Apertura,Paraguay
632,Supercopa do Brasil,Brazil
842,Super Copa,Uruguay
628,Goiano - 1,Brazil
603,Paraibano,Brazil
608,Maranhense,Brazil
901,Ykköscup,Finland
814,Reykjavik Cup,Iceland
605,Paulista - A3,Brazil
476,Paulista - A2,Brazil
616,Potiguar,Brazil
602,Baiano - 1,Brazil
626,Sergipano,Brazil
606,Paranaense - 1,Brazil
630,Matogrossense,Brazil
604,Catarinense - 1,Brazil
168,League Cup,Iceland
611,Capixaba,Brazil
621,Piauiense,Brazil
623,Sul-Matogrossense,Brazil
631,Tocantinense,Brazil
610,Brasiliense,Brazil
627,Paraense,Brazil
629,Mineiro - 1,Brazil
522,Amazonense,Brazil
527,Super Cup,Chile
618,São Paulo Youth Cup,Brazil
620,Cearense - 2,Brazil
398,Premier League,Bangladesh
904,SheBelieves Cup,World
195,Victoria NPL,Australia
622,Pernambucano - 1,Brazil
358,First Division,Ireland
130,Copa Argentina,Argentina
189,Capital Territory NPL,Australia
836,Victoria NPL 2,Australia
474,2. Division - Group 2,Norway
473,2. Division - Group 1,Norway
812,Super Cup,Belarus
251,Division Intermedia,Paraguay
960,Euro Championship - Qualification,World
900,Tipsport Malta Cup,World
831,Super Cup,Vietnam
253,Major League Soccer,USA
843,Copa Verde,Brazil
164,Úrvalsdeild,Iceland
13,CONMEBOL Libertadores,World
671,Úrvalsdeild Women,Iceland
11,CONMEBOL Sudamericana,World
520,Acreano,Brazil
639,Super Cup,Iceland
548,Super Cup,Japan
773,Sudamericano U20,World
304,Liga Panameña de Fútbol,Panama
899,League Cup,Finland
481,Northern NSW NPL,Australia
835,New South Wales NPL 2,Australia
192,New South Wales NPL,Australia
100,J3 League,Japan
99,J2 League,Japan
98,J1 League,Japan
563,Ettan - Norra,Sweden
564,Ettan - Södra,Sweden
903,The Atlantic Cup,World
826,Super Cup,Saudi-Arabia
538,Africa Cup of Nations U20,World
265,Primera División,Chile
411,Elite One,Cameroon
813,Elite Two,Cameroon
129,Primera Nacional,Argentina
10,Friendlies,World
666,Friendlies Women,World
340,V.League 1,Vietnam
255,USL Championship,USA
281,Primera División,Peru
166,2. Deild,Iceland
165,1. Deild,Iceland
517,Trofeo de Campeones de la Superliga,Argentina
489,USL League One,USA
615,Rondoniense,Brazil
399,NPFL,Nigeria
823,Nasjonal U19 Champions League,Norway
131,Primera B Metropolitana,Argentina
667,Friendlies Clubs,World
239,Primera A,Colombia
266,Primera B,Chile
132,Primera C,Argentina
549,Damallsvenskan,Sweden
906,Reserve League,Argentina
833,Queensland Premier League,Australia
482,Queensland NPL,Australia
736,Elitettan,Sweden
241,Copa Colombia,Colombia
366,1. Deild,Faroe-Islands
367,Meistaradeildin,Faroe-Islands
240,Primera B,Colombia
191,Brisbane Premier League,Australia
837,Rock Cup,Gibraltar
194,South Australia NPL,Australia
834,South Australia State League 1,Australia
839,Super Cup,Lithuania
595,Division 2 - Södra Svealand,Sweden
592,Division 2 - Norra Götaland,Sweden
593,Division 2 - Norra Svealand,Sweden
596,Division 2 - Västra Götaland,Sweden
594,Division 2 - Norrland,Sweden
597,Division 2 - Östra Götaland,Sweden
819,Super Cup,Kosovo
713,Superliga,Colombia
101,J-League Cup,Japan
712,Liga Femenina,Colombia
268,Primera División - Apertura,Uruguay
242,Liga Pro,Ecuador
590,A Division,Nepal
244,Veikkausliiga,Finland
497,Japan Football League,Japan
293,K League 2,South-Korea
278,Super League,Malaysia
824,Emir Cup,Qatar
479,Canadian Premier League,Canada
368,Premier League,Singapore
717,I-League - 2nd Division,India
389,Premier League,Kazakhstan
818,Super Cup,Kazakhstan
299,Primera División,Venezuela
362,A Lyga,Lithuania
915,1. Division Women,Norway
725,Toppserien,Norway
640,Kansallinen Liiga,Finland
245,Ykkönen,Finland
259,Canadian Championship,Canada
376,National Football League,Fiji
246,Suomen Cup,Finland
247,Kakkonen - Lohko A,Finland
248,Kakkonen - Lohko B,Finland
249,Kakkonen - Lohko C,Finland
327,Erovnuli Liga,Georgia
326,Erovnuli Liga 2,Georgia
344,Primera División,Bolivia
329,Meistriliiga,Estonia
369,Super League,Uzbekistan
328,Esiliiga A,Estonia
103,Eliteserien,Norway
113,Allsvenskan,Sweden
104,1. Division,Norway
114,Superettan,Sweden
357,Premier Division,Ireland
292,K League 1,South-Korea
257,US Open Cup,USA
588,National League,Myanmar
295,K3 League,South-Korea
254,NWSL Women,USA
641,NWSL Women - Challenge Cup,USA
133,Primera D,Argentina
73,Copa Do Brasil,Brazil
27,OFC Champions League,World
907,Primera Division,Cuba
591,Pro League,Trinidad-And-Tobago
963,CONCACAF U17,World
71,Serie A,Brazil
523,NISA,USA
269,Segunda División,Uruguay
711,Segunda División,Chile
74,Brasileiro Women,Brazil
500,FA Cup,Malaysia
810,Super Copa,Argentina
498,Cup,Kazakhstan
72,Serie B,Brazil
647,Lao League,Laos
964,Copa de la División Profesional,Bolivia
365,Virsliga,Latvia
116,Premier League,Belarus
562,Reserve League,Belarus
134,Torneo Federal A,Argentina
294,FA Cup,South-Korea
167,Cup,Iceland
740,CBF Brasileiro U20,Brazil
648,Tasmania NPL,Australia
341,Cup,Vietnam
401,Premier Soccer League,Zimbabwe
361,1 Lyga,Lithuania
965,AFC U20 Asian Cup,World
243,Liga Pro Serie B,Ecuador
768,Arab Club Champions Cup,World
75,Serie C,Brazil
76,Serie D,Brazil
660,WK-League,South-Korea
267,Copa Chile,Chile
637,V.League 2,Vietnam
196,Western Australia NPL,Australia
649,Supreme Division Women,Russia
300,Segunda División,Venezuela
923,League 1 Ontario,Canada
8,World Cup - Women,World
954,National League - Central,New-Zealand
772,Leagues Cup,World
957,National League - Southern,New-Zealand
956,National League - Northern,New-Zealand
607,Roraimense,Brazil
545,AIFF Super Cup,India
571,Vysshaya Liga,Tajikistan
759,Liga Mayor,Dominican-Republic
909,MLS Next Pro,USA
910,Youth Viareggio Cup,World
117,1. Division,Belarus
802,Cup,Uzbekistan
521,Amapaense,Brazil
388,1. Division,Kazakhstan
619,Mineiro - 2,Brazil
569,Premier League,Kyrgyzstan
851,Carioca A2,Brazil
613,Baiano - 2,Brazil
614,Paranaense - 2,Brazil
969,Primeira Divisão,Macao
364,1. Liga,Latvia
282,Segunda División,Peru
936,Catarinense - 2,Brazil
970,CONMEBOL - U17,World
